NOME;POTENCIA;PROPRIET;INI_OPER;CEG;CREATED_US;CREATED_DA;LAST_EDITE;LAST_EDI_1;CPU
Facheio;16200;100% para Centrais Eólicas Facheio S.A. (PIE);20220823;EOL.CV.BA.032101-0.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Ventos de São Vicente 12;29400;100% para Ventos de São Casimiro Energias Renováveis S.A. (PIE);20170829;EOL.CV.PI.033140-6.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Oeste Serido IX;22500;100% para CENTRAL GERADORA EÓLICA SERIDÓ IX S.A. (PIE);20231228;EOL.CV.RN.047162-3.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Riachão I;29700;100% para Central Geradora Eolica Acari S.A. (PIE);20150627;EOL.CV.RN.030870-6.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Galpões;8000;100% para Companhia De Geração e Transmissão de Energia Elétrica do Sul do Brasil - ELETROBRAS CGT ELETROSUL (PIE);20151216;EOL.CV.RS.031477-3.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Serra do Assuruá 1;45000;100% para EÓLICA SERRA DO ASSURUÁ 1 LTDA. (PIE);;EOL.CV.BA.049371-6.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Calango 4;30000;100% para CALANGO 4 ENERGIA RENOVÁVEL S/A. (PIE);20160130;EOL.CV.RN.030537-5.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Esperança do Nordeste;27300;100% para USINA DE ENERGIA EÓLICA ESPERANÇA DO NORDESTE S/A (PIE);20181229;EOL.CV.RN.032354-3.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Gameleira;17750;100% para SPE GAMELEIRA ENERGIA S.A. (PIE);20210806;EOL.CV.RN.038006-7.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Vila Espírito Santo V (Antiga Potiguar B25);37800;100% para VILA ESPÍRITO SANTO V EMPREENDIMENTOS E PARTICIPAÇÕES S.A (PIE);20211231;EOL.CV.RN.040598-1.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
AW Santa Regia;37800;100% para EÓLICA DO AGRESTE POTIGUAR II S.A. (PIE);20230913;EOL.CV.RN.032194-0.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Asa Branca I;27000;100% para NOVA ASA BRANCA I ENERGIAS RENOVÁVEIS S.A (PIE);20150805;EOL.CV.RN.030505-7.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
São Domingos;25200;100% para São Domingos Energias Renováveis S.A. (PIE);20160827;EOL.CV.RN.032215-6.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Aquibatã;30000;100% para AQUIBATÃ ENERGIA EÓLICA S.A. (PIE);20111213;EOL.CV.SC.029052-1.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Cristalândia III;30000;100% para Enel Green Power Cristalandia II Eólica S.A. (PIE);20170901;EOL.CV.BA.032083-8.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Ventos de São Januário 04;29400;100% para PARQUE EÓLICO VENTOS DE SÃO JANUÁRIO 04 S.A (PIE);20200915;EOL.CV.BA.032641-0.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Coqueiros;27000;100% para Nova Eólica Coqueiro S.A. (PIE);20141107;EOL.CV.CE.030282-1.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Angical 2;10000;100% para Companhia Hidro Elétrica do São Francisco (PIE);20190917;EOL.CV.BA.031435-8.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Macambira I;18000;100% para Gestamp Eólica Macambira I S.A (PIE);20160714;EOL.CV.RN.031025-5.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Vila Espírito Santo IV (Antiga Potiguar B24);37800;100% para VILA ESPÍRITO SANTO IV EMPREENDIMENTOS E PARTICIPAÇÕES S.A (PIE);20220225;EOL.CV.RN.040597-3.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Serrote IV;16800;100% para SERROTE IV GERAÇÃO DE ENERGIA ELÉTRICA S.A (PIE);20210112;EOL.CV.CE.040881-6.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Ventos da Bahia I;28600;100% para PARQUE EÓLICO VENTOS DA BAHIA I S.A. (PIE);20180907;EOL.CV.BA.032526-0.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Mandacaru;4950;100% para Eólica Gravatá - Geradora de Energia S.A. (PIE);20100424;EOL.CV.PE.029015-7.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Ventos de Santa Leia 13;66100;100% para VENTOS DE SÃO LUDGERO ENERGIAS RENOVÁVEIS S.A. (PIE);20230622;EOL.CV.RN.045011-1.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Itarema VI;24000;100% para Eólica Itarema VI S.A. (PIE);20160727;EOL.CV.CE.031815-9.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Tamanduá Mirim;29600;100% para CENTRAL EÓLICA TAMANDUÁ MIRIM S.A (PIE);20160216;EOL.CV.BA.030753-0.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Abil;23700;100% para CENTRAIS EÓLICAS ABIL S.A. (PIE);20220210;EOL.CV.BA.031402-1.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Ventos de Santa Angela 06;31500;100% para ENEL GREEN POWER VENTOS DE SANTA ÂNGELA 6 S.A. (PIE);20201230;EOL.CV.PI.033010-8.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Rei dos Ventos 3;56780;100% para Rei dos Ventos 3 Geradora de Energia S.A (PIE);20140201;EOL.CV.RN.030417-4.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Xangri-lá;31700;100% para HONDA ENERGY DO BRASIL LTDA. (PIE);20141211;EOL.CV.RS.031302-5.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Ventos de Santa Joana VIII;30000;100% para Ventos de Santa Joana VIII Energias Renováveis S.A (PIE);20151218;EOL.CV.PI.031366-1.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Santo Agostinho 18;31000;100% para Eólica Santo Agostinho 18 S.A. (PIE);20240405;EOL.CV.RN.033872-9.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Boa Esperança I;30800;100% para EÓLICA BOA ESPERANÇA I S.A. (PIE);20190105;EOL.CV.RN.033666-1.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Ventos do Nordeste;23520;100% para Centrais Eólicas Ventos do Nordeste S.A (PIE);20141011;EOL.CV.BA.030476-0.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Serra das Vacas V;25300;100% para Eólica Serra das Vacas V S.A. (PIE);20171201;EOL.CV.PE.032360-8.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Caravela;4500;100% para Vale dos Ventos Geradora Eólica S.A (PIE);20090131;EOL.CV.PB.029089-0.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
